full_name,initials,country,country_code,national_identity_card,certifications,certification_dates,photo,
Baya Belle Lins,BBL,Japan,JP,2.80569E+11,AWS AI Practitioner,10/4/2024,ck-cloud-storage-bucket/Asian-certs/photos/280569316610.jpg,
Belen Brenda Lopez,BBL,Japan,JP,9.08813E+11,AWS CCP; GCP PCA; GCP PDE,2025-03-28; 2024-04-05; 2024-04-16,ck-cloud-storage-bucket/Asian-certs/photos/908813303675.jpg,
Belen Belen Laranjeira,BBL,Japan,JP,12851974792,AWS SAA; GCP PCA; GCP ACE,2025-03-13; 2024-12-26; 2024-10-28,ck-cloud-storage-bucket/Asian-certs/photos/012851974792.jpg,
Bella Blythe Leite,BBL,Japan,JP,9.05935E+11,AWS SAA; GCP PDE,2024-09-19; 2023-12-02,ck-cloud-storage-bucket/Asian-certs/photos/905935388942.jpg,
Baya Bianca Liu,BBL,Japan,JP,8.49206E+11,GCP PCA,10/12/2024,ck-cloud-storage-bucket/Asian-certs/photos/849205989889.jpg,
Botan Brianna Lagasca,BBL,Japan,JP,4.90896E+11,GCP ACE; GCP PCA; AWS AI Practitioner,2024-06-06; 2025-02-19; 2023-09-27,ck-cloud-storage-bucket/Asian-certs/photos/490896033332.jpg,
Belen Blythe Leite,BBL,Japan,JP,3.22354E+11,GCP ACE; AWS AI Practitioner; AWS CCP,2025-02-19; 2024-02-19; 2024-05-19,ck-cloud-storage-bucket/Asian-certs/photos/322354255263.jpg,
Briana Brielle Lemes,BBL,Japan,JP,8.30586E+11,AWS SAA,2/16/2025,ck-cloud-storage-bucket/Asian-certs/photos/830585587541.jpg,
Brielle Blythe Leite,BBL,Japan,JP,9.96551E+11,GCP PDE,2/14/2024,ck-cloud-storage-bucket/Asian-certs/photos/996551392415.jpg,
Brenda Bianca Lustosa,BBL,Japan,JP,1.12459E+11,AWS SAA; AWS AI Practitioner,2025-08-10; 2024-06-10,ck-cloud-storage-bucket/Asian-certs/photos/112459009199.jpg,
Basha Belen Lopez,BBL,Japan,JP,6.89648E+11,AWS CCP; GCP PCA,2025-09-12; 2025-05-05,ck-cloud-storage-bucket/Asian-certs/photos/689648453470.jpg,
Brielle Brianna Laurel,BBL,Japan,JP,1.6656E+11,GCP PCA; AWS SAA,2023-12-18; 2024-06-01,ck-cloud-storage-bucket/Asian-certs/photos/166560141186.jpg,
Belen Brielle Lopes,BBL,Japan,JP,8.02874E+11,GCP PDE,6/16/2025,ck-cloud-storage-bucket/Asian-certs/photos/802874154417.jpg,
Botan Benita Liu,BBL,Japan,JP,446025859,GCP PDE; AWS AI Practitioner,2024-02-02; 2024-02-19,ck-cloud-storage-bucket/Asian-certs/photos/000446025859.jpg,
Bituin Benita Lee,BBL,Japan,JP,7.77234E+11,AWS SAA; GCP PDE; AWS AI Practitioner,2023-11-13; 2024-11-17; 2025-03-12,ck-cloud-storage-bucket/Asian-certs/photos/777233916421.jpg,
Baya Bianca Leal,BBL,Japan,JP,3.30816E+11,AWS CCP,4/12/2024,ck-cloud-storage-bucket/Asian-certs/photos/330815746004.jpg,
Brisa Bianca Liu,BBL,Japan,JP,4.0212E+11,AWS CCP,3/30/2025,ck-cloud-storage-bucket/Asian-certs/photos/402120232799.jpg,
Beatriz Belen Ladeira,BBL,Thailand,TH,2-1153-52596-73-2,GCP PCA; AWS AI Practitioner,2025-06-10; 2024-04-27,ck-cloud-storage-bucket/Asian-certs/photos/2-1153-52596-73-2.jpg,
Beni Brianna Lazaro,BBL,Thailand,TH,4-5297-56022-13-0,AWS SAA; AWS AI Practitioner,2025-04-16; 2025-09-03,ck-cloud-storage-bucket/Asian-certs/photos/4-5297-56022-13-0.jpg,
Baya Belen Lins,BBL,Thailand,TH,8-6791-65721-52-1,GCP PDE; GCP PCA; AWS SAA,2023-12-31; 2025-05-13; 2023-10-05,ck-cloud-storage-bucket/Asian-certs/photos/8-6791-65721-52-1.jpg,
Bianca Benita Luna,BBL,Thailand,TH,4-4520-78193-90-5,AWS AI Practitioner; GCP PCA; AWS SAA,2025-07-23; 2025-06-22; 2025-07-14,ck-cloud-storage-bucket/Asian-certs/photos/4-4520-78193-90-5.jpg,
Botan Brianna Liu,BBL,Thailand,TH,3-9117-29084-12-3,AWS AI Practitioner; GCP PCA,2024-12-02; 2024-03-19,ck-cloud-storage-bucket/Asian-certs/photos/3-9117-29084-12-3.jpg,
Betina Brigid Lim,BBL,Thailand,TH,4-3239-06024-21-1,GCP ACE; GCP PCA,2024-11-30; 2025-01-15,ck-cloud-storage-bucket/Asian-certs/photos/4-3239-06024-21-1.jpg,
Blythe Bianca Ling,BBL,Thailand,TH,4-2540-98915-43-7,AWS SAA; GCP PCA,2025-08-18; 2024-05-10,ck-cloud-storage-bucket/Asian-certs/photos/4-2540-98915-43-7.jpg,
Bonita Brigid Lagasca,BBL,Thailand,TH,3-2404-40346-20-4,AWS SAA,7/21/2024,ck-cloud-storage-bucket/Asian-certs/photos/3-2404-40346-20-4.jpg,
Botan Brielle Lobo,BBL,Thailand,TH,1-7882-75612-65-8,GCP PCA; AWS CCP; AWS SAA,2024-11-09; 2025-04-10; 2025-04-30,ck-cloud-storage-bucket/Asian-certs/photos/1-7882-75612-65-8.jpg,
Brisa Bianca Lopes,BBL,Thailand,TH,7-3508-61692-06-5,GCP ACE; GCP PDE; GCP PCA,2025-02-02; 2025-02-22; 2024-04-17,ck-cloud-storage-bucket/Asian-certs/photos/7-3508-61692-06-5.jpg,
Beatriz Brianna Liu,BBL,Thailand,TH,3-8007-90131-84-5,GCP ACE; AWS CCP,2024-09-09; 2025-01-07,ck-cloud-storage-bucket/Asian-certs/photos/3-8007-90131-84-5.jpg,
Bernice Brenda Lagasca,BBL,Thailand,TH,2-6436-87168-35-9,GCP ACE; AWS SAA,2025-04-29; 2025-03-04,ck-cloud-storage-bucket/Asian-certs/photos/2-6436-87168-35-9.jpg,
Bituin Brianna Lustosa,BBL,Thailand,TH,3-6463-67806-20-7,GCP PCA,10/11/2024,ck-cloud-storage-bucket/Asian-certs/photos/3-6463-67806-20-7.jpg,
Briana Bea Lorenzo,BBL,Thailand,TH,0-8810-55029-48-3,AWS SAA; GCP PDE; GCP ACE,2024-07-04; 2025-05-22; 2024-06-25,ck-cloud-storage-bucket/Asian-certs/photos/0-8810-55029-48-3.jpg,
Blythe Belle Ladeira,BBL,Thailand,TH,4-6959-42626-43-7,GCP PDE; AWS SAA; GCP ACE,2025-06-13; 2023-12-02; 2024-09-13,ck-cloud-storage-bucket/Asian-certs/photos/4-6959-42626-43-7.jpg,
Bella Brigid Lopes,BBL,Thailand,TH,2-2591-36938-12-8,AWS CCP,1/11/2024,ck-cloud-storage-bucket/Asian-certs/photos/2-2591-36938-12-8.jpg,
Botan Bea Lim,BBL,Thailand,TH,0-8219-36726-30-7,GCP PCA,1/27/2025,ck-cloud-storage-bucket/Asian-certs/photos/0-8219-36726-30-7.jpg,
Brisa Brielle Lee,BBL,Philippines,PH,3550-3061-5295,GCP PCA; GCP ACE,2025-05-20; 2024-06-24,ck-cloud-storage-bucket/Asian-certs/photos/3550-3061-5295.jpg,
Brisa Belle Liu,BBL,Philippines,PH,2964-6380-1287,GCP PDE; AWS SAA,2024-01-29; 2025-05-26,ck-cloud-storage-bucket/Asian-certs/photos/2964-6380-1287.jpg,
Briana Bianca Ladeira,BBL,Philippines,PH,6079-0788-9121,AWS AI Practitioner; AWS SAA,2025-08-05; 2024-06-06,ck-cloud-storage-bucket/Asian-certs/photos/6079-0788-9121.jpg,
Betina Benita Luna,BBL,Philippines,PH,2832-5717-6710,AWS CCP,1/5/2025,ck-cloud-storage-bucket/Asian-certs/photos/2832-5717-6710.jpg,
Belen Belen Lopez,BBL,Philippines,PH,5640-0780-7071,GCP PDE; AWS AI Practitioner; AWS CCP,2024-04-05; 2025-01-24; 2024-11-01,ck-cloud-storage-bucket/Asian-certs/photos/5640-0780-7071.jpg,
Brenda Brianna Laranjeira,BBL,Philippines,PH,2711-3043-6260,AWS CCP; GCP ACE,2023-11-12; 2024-07-12,ck-cloud-storage-bucket/Asian-certs/photos/2711-3043-6260.jpg,
Baya Brianna Laranjeira,BBL,Philippines,PH,2216-1489-1339,AWS AI Practitioner; GCP ACE,2025-05-25; 2024-09-30,ck-cloud-storage-bucket/Asian-certs/photos/2216-1489-1339.jpg,
Bonita Brianna Ling,BBL,Philippines,PH,9940-0342-2777,AWS AI Practitioner; AWS SAA,2024-03-14; 2025-06-19,ck-cloud-storage-bucket/Asian-certs/photos/9940-0342-2777.jpg,
Brenda Benita Lobo,BBL,Philippines,PH,1414-1283-1385,GCP PCA,2/26/2024,ck-cloud-storage-bucket/Asian-certs/photos/1414-1283-1385.jpg,
Baya Brenda Leal,BBL,Philippines,PH,2752-9374-3120,AWS AI Practitioner,5/27/2025,ck-cloud-storage-bucket/Asian-certs/photos/2752-9374-3120.jpg,
Botan Bianca Leal,BBL,Philippines,PH,2001-9703-4813,GCP PCA,3/31/2024,ck-cloud-storage-bucket/Asian-certs/photos/2001-9703-4813.jpg,
