full_name,initials,country,country_code,national_identity_card,certifications,certification_dates,photo
Bárbara Beatriz Lobo,BBL,Brazil,BR,332.181.960-01,AWS CCP,2/14/2025,ck-cloud-storage-bucket/Latina-certs/photos/332.181.960-01.jpg
Bianca Bibiana Linhares,BBL,Brazil,BR,863.794.026-54,AWS CCP,8/25/2024,ck-cloud-storage-bucket/Latina-certs/photos/863.794.026-54.jpg
Bárbara Bruna Ladeira,BBL,Brazil,BR,155.940.781-61,AWS AI Practitioner; AWS SAA; AWS CCP,2025-09-06; 2023-11-26; 2023-11-01,ck-cloud-storage-bucket/Latina-certs/photos/155.940.781-61.jpg
Betina Benedita Leal,BBL,Brazil,BR,316.475.255-34,AWS SAA; AWS CCP; AWS AI Practitioner,2025-03-15; 2024-05-23; 2024-03-01,ck-cloud-storage-bucket/Latina-certs/photos/316.475.255-34.jpg
Brisa Branca Lobo,BBL,Brazil,BR,835.030.564-13,AWS SAA; AWS AI Practitioner; AWS CCP,2025-07-18; 2025-02-08; 2024-10-25,ck-cloud-storage-bucket/Latina-certs/photos/835.030.564-13.jpg
Brisa Bárbara Lobo,BBL,Brazil,BR,238.849.696-53,AWS SAA,2/2/2025,ck-cloud-storage-bucket/Latina-certs/photos/238.849.696-53.jpg
Beatriz Beatriz Leite,BBL,Brazil,BR,226.916.697-84,AWS CCP; AWS SAA; AWS AI Practitioner,2025-07-03; 2024-08-29; 2024-01-08,ck-cloud-storage-bucket/Latina-certs/photos/226.916.697-84.jpg
Brígida Branca Lourenço,BBL,Brazil,BR,704.828.148-93,AWS AI Practitioner,2/28/2024,ck-cloud-storage-bucket/Latina-certs/photos/704.828.148-93.jpg
Bea Bibiana Lima,BBL,Brazil,BR,957.015.430-39,AWS CCP,1/25/2025,ck-cloud-storage-bucket/Latina-certs/photos/957.015.430-39.jpg
Beatriz Bibiana Loureiro,BBL,Brazil,BR,278.248.963-83,AWS AI Practitioner; AWS SAA; AWS CCP,2024-12-07; 2025-02-26; 2024-12-21,ck-cloud-storage-bucket/Latina-certs/photos/278.248.963-83.jpg
Bárbara Bianca Lacerda,BBL,Brazil,BR,150.983.930-10,AWS CCP,10/18/2023,ck-cloud-storage-bucket/Latina-certs/photos/150.983.930-10.jpg
Bárbara Bruna Lourenção,BBL,Brazil,BR,347.382.997-37,AWS CCP; AWS SAA,2023-12-24; 2025-07-21,ck-cloud-storage-bucket/Latina-certs/photos/347.382.997-37.jpg
Belinda Bernarda Lemes,BBL,Brazil,BR,670.106.513-33,AWS AI Practitioner; AWS CCP; AWS SAA,2024-03-21; 2024-06-27; 2025-01-01,ck-cloud-storage-bucket/Latina-certs/photos/670.106.513-33.jpg
Betina Bruna Laranjeira,BBL,Brazil,BR,810.801.326-77,AWS AI Practitioner,11/15/2023,ck-cloud-storage-bucket/Latina-certs/photos/810.801.326-77.jpg
Bernarda Branca Lima,BBL,Brazil,BR,647.468.723-43,AWS SAA,3/24/2025,ck-cloud-storage-bucket/Latina-certs/photos/647.468.723-43.jpg
Bruna Bernarda Lopes,BBL,Brazil,BR,097.882.081-21,AWS CCP; AWS SAA; AWS AI Practitioner,2024-01-16; 2025-04-21; 2024-05-25,ck-cloud-storage-bucket/Latina-certs/photos/097.882.081-21.jpg
Bruna Brígida Leal,BBL,Brazil,BR,699.854.353-46,AWS SAA,7/7/2025,ck-cloud-storage-bucket/Latina-certs/photos/699.854.353-46.jpg
Brígida Betina Lins,BBL,Brazil,BR,107.991.183-84,AWS AI Practitioner,11/25/2023,ck-cloud-storage-bucket/Latina-certs/photos/107.991.183-84.jpg
Betina Bernarda Louzada,BBL,Brazil,BR,278.498.084-12,AWS CCP; AWS SAA,2025-04-04; 2024-02-22,ck-cloud-storage-bucket/Latina-certs/photos/278.498.084-12.jpg
