full_name,initials,country,country_code,country_id_numeric,national_identity_card,certs,cert_dates,photo
Betsaida Beatriz Lozada,BBL,Brazil,BR,76,BR-1849-5931-0341,AWS SAP; Google PCA,2024-02-27; 2024-09-27,gs://ck-cloud-storage-bucket/Latina-certs/photos/BR-1849-5931-0341.jpg
Belinda Brenda Lagos,BBL,Guatemala,GT,320,GT-4192-8327-6483,AWS Machine Learning Specialty; Google ACE; Google CDL,2023-11-10; 2024-05-05; 2023-10-16,gs://ck-cloud-storage-bucket/Latina-certs/photos/GT-4192-8327-6483.jpg
Belinda Belkis León,BBL,Mexico,MX,484,MX-1395-3767-2423,AWS DevOps Pro; AWS Networking Specialty; Google PCSE,2025-05-03; 2024-10-26; 2024-09-18,gs://ck-cloud-storage-bucket/Latina-certs/photos/MX-1395-3767-2423.jpg
Bárbara Bianca Llumiquinga, ,Guatemala,GT,320,GT-7101-2269-1669,AWS DevOps Pro; Google PCSE,2023-09-25; 2025-08-10,gs://ck-cloud-storage-bucket/Latina-certs/photos/GT-7101-2269-1669.jpg
Betania Beatriz Lagos,BBL,Costa Rica,CR,188,CR-8451-4627-0482,AWS Developer Associate; Google ACE; AWS Machine Learning Specialty,2024-07-15; 2025-06-29; 2025-02-14,gs://ck-cloud-storage-bucket/Latina-certs/photos/CR-8451-4627-0482.jpg
Bibiana Brenda Lozano,BBL,Uruguay,UY,858,UY-5288-0957-0154,AWS Security Specialty; Google CDL,2023-12-10; 2025-01-23,gs://ck-cloud-storage-bucket/Latina-certs/photos/UY-5288-0957-0154.jpg
Bianca Benita Luján,BBL,Chile,CL,152,CL-2278-2489-6383,AWS Security Specialty; AWS SysOps Associate; Google PCA,2024-12-05; 2025-02-24; 2024-12-19,gs://ck-cloud-storage-bucket/Latina-certs/photos/CL-2278-2489-6383.jpg
Bianca Brenda Larraín,BBL,Uruguay,UY,858,UY-1509-8393-0103,AWS AI Practitioner,11/25/2023,gs://ck-cloud-storage-bucket/Latina-certs/photos/UY-1509-8393-0103.jpg
Betsaida Brenda León,BBL,Dominican Republic,DO,214,DO-7382-9973-7631,AWS SysOps Associate; Google PCSE,2023-11-08; 2025-08-03,gs://ck-cloud-storage-bucket/Latina-certs/photos/DO-7382-9973-7631.jpg
Bernarda Belinda López,BBL,Costa Rica,CR,188,CR-0651-3338-7262,Google PCA; AWS Developer Associate,2023-11-30; 2024-12-10,gs://ck-cloud-storage-bucket/Latina-certs/photos/CR-0651-3338-7262.jpg
